stat,sample,category,side,bucket,clusters,events,losing,contracts,rows,mean_c,se_c,t
A,all,Economics,long_yes,1,212,725,163.0,820709.8600000001,9625.0,-4.330638714408903,3.4082004926884326,-1.2706525697943432
A,confirmation,Economics,long_yes,1,141,556,104.0,528626.37,7161.0,-2.5186294041443857,4.430573875897628,-0.5684657280732318
A,exploration,Economics,long_yes,1,83,170,66.0,292083.49,2464.0,-7.610097967964574,5.280038987943126,-1.4412957906830037
A,all,Economics,long_yes,2,204,713,127.0,1171147.2100000002,15521.0,-18.42582666198427,5.974163827338466,-3.0842519881469523
A,confirmation,Economics,long_yes,2,137,557,81.0,779765.7500000002,11494.0,-20.115167471194404,8.026695671677698,-2.5060334032808838
A,exploration,Economics,long_yes,2,78,156,50.0,391381.46,4027.0,-15.060081889354187,6.315298596601228,-2.3846983098248486
A,all,Economics,long_yes,3,202,571,60.0,861126.25,8471.0,-1.9452521620459067,5.5602494165422085,-0.3498498028269412
A,confirmation,Economics,long_yes,3,133,424,41.0,525028.77,6236.0,1.1301409383109036,6.378081659058996,0.1771913560726724
A,exploration,Economics,long_yes,3,77,147,19.0,336097.48,2235.0,-6.749423430294689,9.626762856141488,-0.7011103868616466
A,all,Economics,long_yes,4,194,498,30.0,2467413.91,8544.0,0.6398377269185841,1.5199584820344096,0.42095737119226073
A,confirmation,Economics,long_yes,4,133,372,23.0,1200234.3699999999,5572.0,-2.3844707285030546,2.8288406121474994,-0.8429144852713694
A,exploration,Economics,long_yes,4,70,126,7.0,1267179.54,2972.0,3.5043717878762473,0.6019747549789854,5.821459718852466
A,all,Economics,short_yes,0,210,662,17.0,8235588.270000005,20017.0,2.2204374608382156,0.25521893454603384,8.70012824396348
A,confirmation,Economics,short_yes,0,136,465,14.0,4398822.400000002,11121.0,1.7281134693055094,0.3151159303188817,5.484056193403946
A,exploration,Economics,short_yes,0,84,199,4.0,3836765.87,8896.0,2.7848831099576588,0.1460182932241884,19.072152183575405
A,all,Economics,short_yes,1,205,735,48.0,1610669.6799999997,17730.0,7.589985588098763,2.1474328296520975,3.534446099219041
A,confirmation,Economics,short_yes,1,137,548,37.0,971379.9,11542.0,6.971033471881229,2.8985476480003958,2.4050091005715553
A,exploration,Economics,short_yes,1,79,188,15.0,639289.78,6188.0,8.530463073529818,3.1717993414624015,2.6894712291593863
A,all,Economics,short_yes,2,209,826,87.0,1416005.75,26987.0,1.4410045117152332,4.396561354699339,0.32775717099341534
A,confirmation,Economics,short_yes,2,140,638,64.0,888799.2000000001,18777.0,-0.7917782593754428,5.669466382315031,-0.13965657541338722
A,exploration,Economics,short_yes,2,82,188,32.0,527206.55,8210.0,5.205175386904807,6.66448721350917,0.7810316413172372
A,all,Economics,short_yes,3,206,733,143.0,1152129.29,13192.0,-3.8859026389442053,3.8879806155342074,-0.9994655383358395
A,confirmation,Economics,short_yes,3,136,563,96.0,803682.65,10299.0,-2.968213047607678,5.395565114121263,-0.5501208835084347
A,exploration,Economics,short_yes,3,81,170,55.0,348446.64,2893.0,-6.002528595339589,3.8729491539879097,-1.549859901764754
A,all,Economics,short_yes,4,211,739,175.0,2519420.630000001,9974.0,-2.060128727815389,0.8039299424052244,-2.5625724570623993
A,confirmation,Economics,short_yes,4,141,562,118.0,1645117.3099999998,6685.0,-1.7072004072698928,1.1198149053025852,-1.5245380278346896
A,exploration,Economics,short_yes,4,83,177,68.0,874303.3200000001,3289.0,-2.7242100323661123,1.027061569085157,-2.652431085307447
A,all,Elections,long_yes,0,64,94,52.0,850839.7899999998,2522.0,9.567919741976338,7.849863909116321,1.2188644099759207
A,confirmation,Elections,long_yes,0,50,73,40.0,503747.7900000001,1948.0,18.512421114542256,10.588791335903453,1.7483035152248323
A,exploration,Elections,long_yes,0,14,23,12.0,347092.0,574.0,-3.4135744989800965,0.8352903852765868,-4.0866919566538185
A,all,Elections,long_yes,1,64,82,46.0,484776.5699999999,1911.0,-0.6433645916509553,7.099541433351169,-0.0906205841166942
A,confirmation,Elections,long_yes,1,54,73,38.0,240949.57,1427.0,7.111670379822628,10.312852926839373,0.6895929215973192
A,exploration,Elections,long_yes,1,11,11,8.0,243827.0,484.0,-8.306881518453656,7.03177761086035,-1.1813345043256132
A,all,Elections,long_yes,2,61,71,33.0,570647.7599999999,3413.0,9.849650842404088,16.195257134181634,0.6081811953214044
A,confirmation,Elections,long_yes,2,53,64,28.0,524060.75999999995,2872.0,10.071571071262817,17.350093729560708,0.5804908738967268
A,exploration,Elections,long_yes,2,9,9,5.0,46587.0,541.0,7.353253053426921,32.65572574984035,0.22517500023599596
A,all,Elections,long_yes,3,43,63,14.0,288433.13,1608.0,-2.913340572215127,11.67898753427163,-0.24945146689008946
A,confirmation,Elections,long_yes,3,39,56,13.0,259176.13,1398.0,-2.001696452524392,12.792783274959039,-0.15647075460447846
A,exploration,Elections,long_yes,3,6,8,1.0,29257.0,210.0,-10.989233345865946,5.209185388783767,-2.1095876851546835
A,all,Elections,long_yes,4,38,60,3.0,1357711.9899999998,2467.0,-6.685646167859209,9.878066205984814,-0.6768173069956328
A,confirmation,Elections,long_yes,4,33,51,2.0,1288667.99,2271.0,-7.056750872658829,10.568174031825734,-0.6677360584153552
A,exploration,Elections,long_yes,4,6,9,1.0,69044.0,196.0,0.2408174497421943,0.9258055245299145,0.2601166696045278
A,all,Elections,short_yes,0,60,98,7.0,1655507.23,3655.0,-13.21447561844837,10.616072926630038,-1.2447611946316168
A,confirmation,Elections,short_yes,0,45,78,5.0,1037118.2299999999,2776.0,-23.52306904006499,12.67637039841241,-1.8556628041581227
A,exploration,Elections,short_yes,0,15,22,2.0,618389.0,879.0,4.074367105495086,1.3302786341422057,3.062792260902793
A,all,Elections,short_yes,1,67,86,24.0,1030666.29,3209.0,-2.0774819655739423,12.775928574326038,-0.16260907796156296
A,confirmation,Elections,short_yes,1,54,74,21.0,457952.29000000004,1867.0,-16.098246020344167,16.80543863085973,-0.957918824610924
A,exploration,Elections,short_yes,1,14,15,4.0,572714.0,1342.0,9.133770084195595,13.483433869936897,0.677406821756329
A,all,Elections,short_yes,2,64,79,27.0,861020.5000000007,5436.0,2.470739546851663,13.359808040094808,0.18493825206444578
A,confirmation,Elections,short_yes,2,59,71,27.0,814520.5000000003,4953.0,4.7746734428415145,13.207256989464868,0.36151893210302216
A,exploration,Elections,short_yes,2,9,11,3.0,46500.0,483.0,-37.88627956989247,16.32702506835679,-2.320464347379451
A,all,Elections,short_yes,3,52,70,35.0,399740.19999999995,2444.0,6.628345710538991,12.815467797393525,0.5172144954308338
A,confirmation,Elections,short_yes,3,49,64,33.0,374939.20000000007,2247.0,7.6381190336993185,13.679358931844082,0.5583682007143329
A,exploration,Elections,short_yes,3,5,7,4.0,24801.0,197.0,-8.637313011572115,4.000740966186555,-2.1589283296701582
